SPACECRAFT DATE/TIME ,   adcs_main ADRW1TCMD,   adcs_main ADRW2TCMD,   adcs_main ADRW3TCMD,   adcs_main ADRW4TCMD
        UTC          ,                    DN,                    DN,                    DN,                    DN
  07/04/12 20:36:21.0,  -8.8783291727304E-03,  -1.1958024377624E-02,   4.1960095210622E-03,   4.3580434890464E-03
  07/04/12 20:41:21.0,  -9.0630634377400E-03,  -1.1578648183495E-02,   3.9094783788702E-03,   4.6192652747656E-03
  07/04/12 20:46:21.0,  -8.8879869195322E-03,  -1.1839519956460E-02,   4.1345666022971E-03,   4.3665388773661E-03
  07/04/12 20:51:21.0,  -9.0056467428803E-03,  -1.1750994473696E-02,   4.0672233122556E-03,   4.4099320451884E-03
  07/04/12 20:56:21.0,  -8.9562868823608E-03,  -1.1894593493392E-02,   4.1450709189909E-03,   4.2842163162034E-03
  07/04/12 21:01:21.0,  -9.1230311058462E-03,  -1.1834745071828E-02,   4.0635684212126E-03,   4.4794460232758E-03
  07/04/12 21:06:21.0,  -9.0727768155436E-03,  -1.1748445518315E-02,   4.0210283821216E-03,   4.4835819078920E-03
  07/04/12 21:11:21.0,  -9.0201488882303E-03,  -1.1821893264229E-02,   4.1157128149644E-03,   4.3721911965016E-03
  07/04/12 21:16:21.0,  -9.0776454160611E-03,  -1.1702598898361E-02,   4.0088006675554E-03,   4.5662699624275E-03
  07/04/12 21:21:21.0,  -8.8542704656720E-03,  -1.1981759859870E-02,   4.2936810587222E-03,   4.3578162851433E-03
  07/04/12 21:26:21.0,  -9.0471988109251E-03,  -1.1774302938332E-02,   4.0713444373978E-03,   4.6209976356477E-03
  07/04/12 21:31:21.0,  -9.1757913492620E-03,  -1.1753383520991E-02,   3.9303056674544E-03,   4.5185284171021E-03
  07/04/12 21:36:21.0,  -9.2108682543039E-03,  -1.1865679081529E-02,   4.0125362086110E-03,   4.3873067118693E-03
  07/04/12 21:41:21.0,  -9.1004778258502E-03,  -1.1770163072894E-02,   4.0893579530530E-03,   4.5426048815716E-03
  07/04/12 21:46:21.0,  -9.1607099088530E-03,  -1.1819486754636E-02,   4.0906180014523E-03,   4.5453681237026E-03
  07/04/12 21:51:21.0,  -9.1945272684097E-03,  -1.1812844167774E-02,   4.0364822078845E-03,   4.6539405927372E-03
  07/04/12 21:56:21.0,  -9.1277597906689E-03,  -1.1781353851159E-02,   4.0443352314954E-03,   4.5415171424005E-03
  07/04/12 22:01:21.0,  -9.0518481470644E-03,  -1.2009566333145E-02,   4.2462282181562E-03,   4.4395617562501E-03
  07/04/12 22:06:21.0,  -9.1525769357880E-03,  -1.1900558937341E-02,   4.1289950786935E-03,   4.4830072252080E-03
  07/04/12 22:11:21.0,  -9.2787449993193E-03,  -1.1800751878570E-02,   3.9171244176881E-03,   4.5302334952915E-03
  07/04/12 22:16:21.0,  -9.2269363254309E-03,  -1.1978020351380E-02,   4.1385052508364E-03,   4.4459829762733E-03
  07/04/12 22:21:21.0,  -9.2746028862894E-03,  -1.1751015037298E-02,   3.9439648576081E-03,   4.5595040478899E-03
  07/04/12 22:26:21.0,  -9.2388484751185E-03,  -1.1917503948013E-02,   4.0084409286889E-03,   4.4250906689558E-03
  07/04/12 22:31:21.0,  -9.2348162954052E-03,  -1.1902887560427E-02,   4.0604281080111E-03,   4.4433598930482E-03
  07/04/12 22:36:21.0,  -9.2916424386203E-03,  -1.1954361156871E-02,   4.0057859484174E-03,   4.3619779053067E-03
  07/04/12 22:41:21.0,  -9.1677384140591E-03,  -1.1992046479136E-02,   4.1548137925565E-03,   4.3042644337887E-03
  07/04/12 22:46:21.0,  -9.3671971435348E-03,  -1.2058410166452E-02,   3.9523644112827E-03,   4.4122485793196E-03
  07/04/12 22:51:21.0,  -9.3376022763550E-03,  -1.2276540802171E-02,   4.0198225625985E-03,   4.3639814337560E-03
  07/04/12 22:56:21.0,  -9.2922195233405E-03,  -1.2303297159572E-02,   4.0733752906029E-03,   4.3097440192165E-03
  07/04/12 23:01:21.0,  -9.3784189969301E-03,  -1.2221093817304E-02,   3.9842209192769E-03,   4.4681399629917E-03
  07/04/12 23:06:21.0,  -9.2772914096713E-03,  -1.2379186637700E-02,   4.1312517501259E-03,   4.4251868439217E-03
  07/04/12 23:11:21.0,  -9.3089498206973E-03,  -1.2435235114147E-02,   4.1198668512516E-03,   4.3232273438480E-03
  07/04/12 23:16:21.0,  -9.3959817352394E-03,  -1.2424130638440E-02,   4.0349856864971E-03,   4.2973219502407E-03
  07/04/12 23:21:21.0,  -9.3617307829360E-03,  -1.2305682183554E-02,   4.0198907005833E-03,   4.3340317299590E-03
  07/04/12 23:26:21.0,  -9.4651341065764E-03,  -1.2358729727566E-02,   3.9467569387246E-03,   4.3764475431332E-03
  07/04/12 23:31:21.0,  -9.4811663155754E-03,  -1.2187019567937E-02,   3.8710845935081E-03,   4.5009673992172E-03
  07/04/12 23:36:21.0,  -9.4103038000564E-03,  -1.2223589569330E-02,   3.9529767810988E-03,   4.4548228445152E-03
  07/04/12 23:41:21.0,  -9.2844581976533E-03,  -1.2522096397976E-02,   4.1512216534466E-03,   4.1493415884906E-03
  07/04/12 23:46:21.0,  -9.4540551180641E-03,  -1.2336722767601E-02,   4.0053439873736E-03,   4.3335130026874E-03
  07/04/12 23:51:21.0,  -9.4406539946795E-03,  -1.2418218012899E-02,   3.9336226795179E-03,   4.2183409840800E-03
  07/04/12 23:56:21.0,  -9.4010803848505E-03,  -1.2338625192642E-02,   4.0270580334861E-03,   4.3097524791180E-03
  07/05/12 00:01:21.0,  -9.5101727358997E-03,  -1.2258286277453E-02,   3.9393067321119E-03,   4.4766919827089E-03
  07/05/12 00:06:21.0,  -9.5058014678458E-03,  -1.2271693764875E-02,   3.9682688936591E-03,   4.4324272118198E-03
  07/05/12 00:11:21.0,  -9.4334388338029E-03,  -1.2337146922946E-02,   4.0517021363485E-03,   4.4133116642479E-03
  07/05/12 00:16:21.0,  -9.4850257287423E-03,  -1.2474403257171E-02,   4.0257919455568E-03,   4.2856284646162E-03
  07/05/12 00:21:21.0,  -9.4106539338827E-03,  -1.2451200267921E-02,   4.0802396321669E-03,   4.2459688358940E-03
  07/05/12 00:26:21.0,  -9.4746948759023E-03,  -1.2359036432922E-02,   4.0677673877278E-03,   4.3674550133322E-03
  07/05/12 00:31:21.0,  -9.6110496608736E-03,  -1.2409068086479E-02,   3.9374049153450E-03,   4.3483813925904E-03
  07/05/12 00:36:21.0,  -9.5719961969593E-03,  -1.2427998234990E-02,   3.9671808836510E-03,   4.3437202522862E-03
