SPACECRAFT DATE/TIME ,   adcs_main ADATTERRX,   adcs_main ADATTERRY,   adcs_main ADATTERRZ
        UTC          ,                    DN,                    DN,                    DN
  01/28/13 13:55:00.0,  -2.0964128178207E-05,  -4.0627458023816E-06,   5.0055954853671E-08
  01/28/13 14:00:00.0,  -2.3112691342249E-05,  -3.1032468797321E-06,   1.3662822463327E-07
  01/28/13 14:05:00.0,  -2.0916391745042E-05,  -4.6549771949837E-06,   2.4429809336842E-06
  01/28/13 14:10:00.0,  -2.2930339775182E-05,  -3.7921097420638E-06,   5.3743373352214E-07
  01/28/13 14:15:00.0,  -2.0851014154080E-05,  -4.6453822041788E-06,   1.4155406582480E-06
  01/28/13 14:20:00.0,  -2.4634107533691E-05,  -9.7649567324017E-07,  -2.4800726375436E-06
  01/28/13 14:25:00.0,  -2.1512971672261E-05,  -4.7701980963666E-06,   1.4290893524797E-06
  01/28/13 14:30:00.0,  -2.3517437748524E-05,  -3.7432136544169E-06,  -6.6642515226552E-07
  01/28/13 14:35:00.0,  -2.3737417695126E-05,  -2.6576701217588E-06,  -2.4786890785814E-07
  01/28/13 14:40:00.0,  -2.1587830444029E-05,  -5.3809286958047E-06,   3.1178607461868E-06
  01/28/13 14:45:00.0,  -2.2998072081464E-05,  -2.8777867710990E-06,   3.6347305751860E-07
  01/28/13 14:50:00.0,  -2.3151999939728E-05,  -2.8356755878652E-06,  -5.5886685075279E-07
  01/28/13 14:55:00.0,  -2.3912462511362E-05,  -2.7234062054049E-06,  -9.3286369022394E-07
  01/28/13 15:00:00.0,  -2.0197723338242E-05,  -4.3623502172826E-06,   2.9188642542977E-06
  01/28/13 15:05:00.0,  -2.0944813145434E-05,  -3.5886357248197E-06,   2.1078099216728E-06
  01/28/13 15:10:00.0,  -1.9481581634201E-05,  -3.9662341644942E-06,   1.7721782701585E-06
  01/28/13 15:15:00.0,  -2.0113343369606E-05,  -5.7815819987657E-06,   3.2683598184728E-06
  01/28/13 15:20:00.0,  -2.3488924927430E-05,  -1.9398565878722E-06,  -9.2780294568939E-07
  01/28/13 15:25:00.0,  -2.1570454320378E-05,  -3.6335891943888E-06,   1.0587498393022E-06
  01/28/13 15:30:00.0,  -2.0135185304374E-05,  -6.0283893031018E-06,   2.3602970822386E-06
  01/28/13 15:35:00.0,  -2.1036765640474E-05,  -5.7095785091129E-06,   2.7791557350080E-06
  01/28/13 15:40:00.0,  -2.1284751883464E-05,  -4.2956124147982E-06,   1.4206307577069E-06
  01/28/13 15:45:00.0,  -2.0031143256271E-05,  -5.5908558060006E-06,   4.0661110635654E-06
  01/28/13 15:50:00.0,  -2.1688656009549E-05,  -3.5866849875295E-06,   3.0597485078943E-07
  01/28/13 15:55:00.0,  -2.2240256554748E-05,  -4.6922184166457E-06,   2.0061519793065E-06
  01/28/13 16:00:00.0,  -1.9718409901846E-05,  -5.6089675445037E-06,   3.3723848378031E-06
  01/28/13 16:05:00.0,  -1.9926179706241E-05,  -5.3908204413725E-06,   2.6032087062807E-06
  01/28/13 16:10:00.0,  -2.3219118437131E-05,  -3.4788167907133E-06,  -6.4132954709824E-09
  01/28/13 16:15:00.0,  -2.2666126794017E-05,  -4.5135159105788E-06,   3.3501706798234E-06
  01/28/13 16:20:00.0,  -2.0523553701726E-05,  -5.4102972671899E-06,   2.9111524915493E-06
  01/28/13 16:25:00.0,  -2.2762215151791E-05,  -3.9637050944208E-06,   1.4434739750394E-06
  01/28/13 16:30:00.0,  -2.1592732425688E-05,  -4.7511505377429E-06,   4.2301923694292E-08
  01/28/13 16:35:00.0,  -2.1061771623560E-05,  -3.3696922512642E-06,   8.9563033526474E-07
  01/28/13 16:40:00.0,  -1.9887758148229E-05,  -4.7664065819693E-06,   1.9660536348454E-06
  01/28/13 16:45:00.0,  -2.3238357722827E-05,  -2.7321166737693E-06,  -3.9282384894553E-07
  01/28/13 16:50:00.0,  -2.2825753233064E-05,  -4.0331864365347E-06,   6.0475676252262E-07
  01/28/13 16:55:00.0,  -2.2613077135247E-05,  -3.2161556543997E-06,  -6.3717057325145E-08
  01/28/13 17:00:00.0,  -2.1408041007286E-05,  -5.9516500285402E-06,   2.9210076126300E-06
  01/28/13 17:05:00.0,  -2.1832946981704E-05,  -6.1592227287595E-06,   1.6301725334718E-06
  01/28/13 17:10:00.0,  -1.9367920589275E-05,  -5.1399002804449E-06,   2.7183974748368E-06
  01/28/13 17:15:00.0,  -2.1649522938484E-05,  -3.1678759645123E-06,   2.0871202957551E-06
  01/28/13 17:20:00.0,  -2.2213275264183E-05,  -3.9963788708519E-06,   3.8529993200124E-07
  01/28/13 17:25:00.0,  -2.4826858057168E-05,  -2.8379789057453E-07,  -1.0358746779578E-06
  01/28/13 17:30:00.0,  -2.1780490606792E-05,  -3.4967304137960E-06,   4.3612611449362E-07
  01/28/13 17:35:00.0,  -2.2716577667173E-05,  -3.7956538630842E-06,   2.1292083168116E-06
  01/28/13 17:40:00.0,  -2.3970732666688E-05,  -2.6188301949048E-06,  -5.8577252985970E-07
  01/28/13 17:45:00.0,  -2.2368921670951E-05,  -2.1908806864227E-06,   3.2834333580922E-07
  01/28/13 17:50:00.0,  -2.1210723442285E-05,  -4.2986615029387E-06,   1.1994154651044E-06
  01/28/13 17:55:00.0,  -2.1140368072944E-05,  -5.6660931859653E-06,   2.0320448711194E-06
  01/28/13 18:00:00.0,  -2.0382436716015E-05,  -5.6194776692090E-06,   1.6518300469670E-06
  01/28/13 18:05:00.0,  -2.3524648900093E-05,  -2.0667463653486E-06,  -9.9570902719393E-07
  01/28/13 18:10:00.0,  -2.1707812453921E-05,  -4.0969213015766E-06,   1.3525385802874E-06
  01/28/13 18:15:00.0,  -1.9731165283095E-05,  -6.1307351638599E-06,   2.8197500245142E-06
  01/28/13 18:20:00.0,  -2.0630257736987E-05,  -2.7669488880141E-06,   2.3109716020523E-07
  01/28/13 18:25:00.0,  -2.3460871082837E-05,  -3.7824610910775E-06,  -8.4341914638723E-07
  01/28/13 18:30:00.0,  -2.1986561489484E-05,  -3.1336936702549E-06,   4.4183693593898E-07
  01/28/13 18:35:00.0,  -2.1617665970363E-05,  -5.0421814482130E-06,   2.0020336539991E-06
  01/28/13 18:40:00.0,  -2.1674761101167E-05,  -4.2184741639536E-06,   2.2730930481885E-06
  01/28/13 18:45:00.0,  -2.2248022773965E-05,  -3.3771951065849E-06,   6.8112195738953E-07
  01/28/13 18:50:00.0,  -2.0729622436332E-05,  -3.4674945470378E-06,   5.6612502346408E-07
  01/28/13 18:55:00.0,  -1.8887322426053E-05,  -5.4902680288593E-06,   2.6559005180628E-06
  01/28/13 19:00:00.0,  -2.2407320793368E-05,  -4.7262986537333E-06,   2.1261004727025E-06
